Title Name,Rating
fullmetal alchemist: brotherhood,9.17
shingeki no kyojin season 3 part 2,9.11
steins;gate,9.10
fruits basket: the final,9.09
gintama,8.95
hunter x hunter (2011),9.07
ginga eiyuu densetsu,9.06
gintama',9.06
gintama': enchousen,9.04
3-gatsu no lion 2nd season,8.99
koe no katachi,8.98
shingeki no kyojin: the final season,8.97
clannad: after story,8.95
gintama movie 2: kanketsu-hen - yorozuya yo eien nare,8.94
kimi no na wa,8.92
owarimonogatari 2nd season,8.92
code geass: hangyaku no lelouch r2,8.91
gintama: shirogane no tamashii-hen - kouhan-sen,8.87
violet evergarden movie,8.85
gintama: the final,8.84
haikyuu!!: karasuno koukou vs shiratorizawa gakuen koukou,8.82
mob psycho 100 ii,8.82
shiguang dailiren,8.82
sen to chihiro no kamikakushi,8.81
gintama: shirogane no tamashii-hen,8.81
kizumonogatari iii: reiketsu-hen,8.81
monster,8.79
monogatari series: second season,8.78
fate/stay night movie: heaven's feel - iii spring song,8.78
cowboy bebop,8.77
jujutsu kaisen (tv),8.77
odd taxi,8.77
shouwa genroku rakugo shinjuu: sukeroku futatabi-hen,8.77
mushishi zoku shou 2nd season,8.75
kimetsu no yaiba movie: mugen ressha-hen,8.75
hajime no ippo,8.74
mushishi zoku shou,8.72
rurouni kenshin: meiji kenkaku romantan - tsuioku-hen,8.72
vinland saga,8.72
code geass: hangyaku no lelouch,8.71
made in abyss,8.71
made in abyss movie 3: fukaki tamashii no reimei,8.71
great teacher onizuka,8.70
mononoke hime,8.70
shigatsu wa kimi no uso,8.70
mushishi,8.68
haikyuu!! second season,8.68
kaguya-sama wa kokurasetai: tensai-tachi no renai zunousen,8.68
ashita no joe 2,8.67
hajime no ippo: new challenger,8.66
howl no ugoku shiro,8.66
natsume yuujinchou shi,8.66
seishun buta yarou wa yumemiru shoujo no yume wo minai,8.66
tengen toppa gurren lagann,8.65
violet evergarden,8.65
natsume yuujinchou roku,8.64
suzumiya haruhi no shoushitsu,8.64
shingeki no kyojin season 3,8.63
death note,8.63
josee to tora to sakana-tachi,8.63
fumetsu no anata e,8.62
mushishi zoku shou: suzu no shizuku,8.62
ookami kodomo no ame to yuki,8.62
ping pong the animation,8.62
kizumonogatari ii: nekketsu-hen,8.61
yakusoku no neverland,8.60
yojouhan shinwa taikei,8.60
natsume yuujinchou san,8.59
shouwa genroku rakugo shinjuu,8.59
tensei shitara slime datta ken 2nd season part 2,8.59
hajime no ippo: rising,8.59
jojo no kimyou na bouken part 5: ougon no kaze,8.59
kimetsu no yaiba,8.59
kimi no suizou wo tabetai,8.59
fate/zero 2nd season,8.58
fruits basket 2nd season,8.58
natsume yuujinchou go,8.58
tengen toppa gurren lagann movie 2: lagann-hen,8.57
bakuman 3rd season,8.57
fate/stay night movie: heaven's feel - ii lost butterfly,8.57
mushishi: hihamukage,8.56
one piece,8.56
re:zero kara hajimeru isekai seikatsu 2nd season part 2,8.56
zoku natsume yuujinchou,8.56
sora yori mo tooi basho,8.55
vivy: fluorite eye's song,8.55
yuru camp season 2,8.55
haikyuu!!: to the top 2nd season,8.55
kara no kyoukai 5: mujun rasen,8.55
koukaku kidoutai: stand alone complex 2nd gig,8.54
one punch man,8.54
neon genesis evangelion: the end of evangelion,8.53
slam dunk,8.53
gintama: porori-hen,8.53
ansatsu kyoushitsu 2nd season,8.52
gintama movie 1: shinyaku benizakura-hen,8.52
aria the origination,8.51
gintama: the semi-final,8.51
hotaru no haka,8.51
rainbow: nisha rokubou no shichinin,8.51
shingeki no kyojin,8.51
steins;gate 0,8.51
tian guan ci fu special,8.51
uchuu kyoudai,8.51
perfect blue,8.50
samurai champloo,8.50
banana fish,8.50
holo no graffiti,8.50
jojo no kimyou na bouken part 4: diamond wa kudakenai,8.50
kenpuu denki berserk,8.50
kobayashi-san chi no maid dragon s,8.50
kono subarashii sekai ni shukufuku wo! movie: kurenai densetsu,8.50
chihayafuru 3,8.49
mo dao zu shi,8.49
haikyuu!!,8.48
mob psycho 100,8.48
nana,8.48
shingeki no kyojin season 2,8.48
steins;gate movie: fuka ryouiki no déjà vu,8.48
zoku owarimonogatari,8.48
nichijou,8.47
saenai heroine no sodatekata fine,8.47
mushishi zoku shou: odoro no michi,8.46
owarimonogatari,8.46
saiki kusuo no -nan 2,8.45
yuuyuuhakusho,8.45
golden kamuy 3rd season,8.45
mahou shoujo madokamagica movie 3: hangyaku no monogatari,8.45
gintama: yorinuki gintama-san on theater 2d,8.44
koukaku kidoutai: stand alone complex,8.44
mo dao zu shi: xian yun pian,8.44
mononoke,8.44
sayonara no asa ni yakusoku no hana wo kazarou,8.44
re:zero kara hajimeru isekai seikatsu 2nd season,8.43
saiki kusuo no -nan,8.43
gotcha!,8.43
jojo no kimyou na bouken part 3: stardust crusaders 2nd season,8.43
kara no kyoukai 7: satsujin kousatsu (go),8.43
major s5,8.43
grand blue,8.42
kaze ga tsuyoku fuiteiru,8.42
kono oto tomare! 2nd season,8.42
natsume yuujinchou movie: utsusemi ni musubu,8.42
yahari ore no seishun love comedy wa machigatteiru kan,8.42
non non biyori nonstop,8.41
shingeki no kyojin: kuinaki sentaku,8.41
usagi drop,8.41
3-gatsu no lion,8.41
